Latitude	Longitude
45.438874	9.183229
45.460953	9.217752
45.45902	9.206246
45.476514	9.171832
45.470731	9.193237
45.472062	9.173507
45.485934	9.160298
45.477535	9.179277
45.449762	9.164044
45.45896	9.182528
45.46627	9.186792
45.481728	9.213566
45.483209	9.185104
45.476729	9.211363
45.447299	9.175433
45.483125	9.170121
45.468945	9.18103
45.4624	9.193259
45.449539	9.207726
45.480226	9.189065
45.468601	9.223138
45.46555	9.175598
45.459462	9.176897
45.446074	9.180719
45.482686	9.185028
45.46282	9.193127
45.478404	9.184977
45.472984	9.172741
45.450505	9.169744
45.452239	9.201419
45.468945	9.18103
45.470329	9.192656
45.479209	9.202917
45.477385	9.170682
45.479063	9.185925
45.459461	9.182712
45.46873	9.206647
45.482773	9.187178
45.469901	9.26269
45.456782	9.184075
45.468945	9.18103
45.468945	9.18103
45.482773	9.187178
45.489097	9.200127
45.450875	9.171378
45.450741	9.178056
45.443945	9.196416
45.448237	9.186573
45.451998	9.214238
45.468945	9.18103
45.435596	9.218694
45.458147	9.179493
45.488478	9.253816
45.465328	9.162134
45.476438	9.204048
45.477452	9.184322
45.441251	9.187967
45.432903	9.225127
45.451861	9.176357
45.482872	9.183587
45.456702	9.184194
45.441485	9.174014
45.468945	9.18103
45.451631	9.177598
45.453598	9.203534
45.464076	9.240993
45.466443	9.187421
45.466373	9.136451
45.477952	9.17661
45.480939	9.189366
45.486152	9.168259
45.456326	9.18058
45.456531	9.174092
45.467918	9.174726
45.481936	9.187472
45.48527	9.161383
45.475945	9.20315
45.446544	9.178354
45.465798	9.184352
45.446679	9.17699
45.461973	9.271152
45.476297	9.172982
45.480619	9.198419
45.48808	9.218938
45.445767	9.21319
45.468318	9.222538
45.480461	9.129419
45.481163	9.199237
45.451945	9.176783
45.445825	9.194761
45.480088	9.217544
45.473696	9.206757
45.493761	9.180278
45.477287	9.174588
45.472484	9.22864
45.450813	9.195258
45.476189	9.171348
45.452174	9.175556
45.440253	9.197562
45.470273	9.189806
45.451141	9.189922
45.468945	9.18103
45.482104	9.186295
45.468945	9.18103
45.47351	9.187751
45.477721	9.115201
45.455312	9.166389
45.486446	9.236911
45.451808	9.19467
45.459846	9.202331
45.457963	9.213176
45.447296	9.161083
45.453049	9.202812
45.452185	9.214854
45.45059	9.17802
45.485726	9.210803
45.455264	9.157878
45.454821	9.216643
45.475624	9.22317
45.45419	9.171344
45.46284	9.206871
45.459295	9.181035
45.4593	9.182199
45.480923	9.190089
45.457623	9.204859
45.454164	9.243448
45.46213	9.23849
45.46841	9.180579
45.461779	9.184388
45.452693	9.175524
45.475803	9.158102
45.452281	9.182855
45.479972	9.189838
45.473132	9.158658
45.481828	9.177366
45.454795	9.197841
45.511927	9.214432
45.485022	9.161034
45.478443	9.209678
45.446277	9.147588
45.47079	9.254968
45.468945	9.18103
45.481202	9.125085
45.468945	9.18103
45.480088	9.217544
45.479022	9.189996
45.476579	9.170714
45.460766	9.217752
45.463064	9.197946
45.484581	9.206439
45.468945	9.18103
45.446717	9.176854
45.449557	9.19882
45.47015	9.176685
45.462032	9.218137
45.462963	9.210539
45.459189	9.182166
45.473924	9.209418
45.4725	9.236451
45.440959	9.181444
45.468723	9.210406
45.467191	9.152622
45.480808	9.231505
45.482177	9.187146
45.45075	9.193397
45.531809	9.161414
45.486525	9.167409
45.486899	9.16037
45.477422	9.212077
45.475393	9.188653
45.489574	9.188881
45.456029	9.181862
45.449217	9.19703
45.451163	9.160877
45.450851	9.200924
45.477226	9.169877
45.457392	9.181421
45.473612	9.233574
45.468945	9.18103
45.476601	9.2051
45.46403	9.174783
45.469535	9.18788
45.445854	9.176886
45.478751	9.185675
45.457864	9.170463
45.455766	9.168904
45.446717	9.176854
45.4413	9.202543
45.452147	9.204013
45.471732	9.185228
45.475996	9.184105
45.458854	9.1806
45.452132	9.175366
45.468945	9.18103
