Latitude	Longitude	Latitude	Longitude	Latitude	Longitude	Latitude	Longitude	Latitude	Longitude	Latitude	Longitude	Latitude	Longitude	Latitude	Longitude	Latitude	Longitude	Latitude	Longitude
45.47798528	9.221109197	45.47798528	9.221109197	45.47798528	9.221109197	45.47798528	9.221109197	45.47798528	9.221109197	45.47798528	9.221109197	45.47798528	9.221109197	45.47798528	9.221109197	45.47798528	9.221109197	45.47798528	9.221109197
45.44058701	9.208615226	45.44058701	9.208615226	45.44058701	9.208615226	45.44058701	9.208615226	45.44058701	9.208615226	45.44058701	9.208615226	45.44058701	9.208615226	45.44058701	9.208615226	45.44058701	9.208615226	45.44058701	9.208615226
45.49494216	9.219092844	45.49494216	9.219092844	45.49494216	9.219092844	45.49494216	9.219092844	45.49494216	9.219092844	45.49494216	9.219092844	45.49494216	9.219092844	45.49494216	9.219092844	45.49494216	9.219092844	45.49494216	9.219092844
45.50736196	9.18362558	45.50736196	9.18362558	45.50729901	9.183909575	45.50521861	9.184886147	45.50319946	9.18636178	45.50091279	9.187947324	45.49844407	9.186908399	45.49742161	9.184015643	45.49722236	9.180617253	45.49700605	9.177302655
45.5128852	9.13144224	45.5128852	9.13144224	45.5128852	9.13144224	45.5128852	9.13144224	45.5128852	9.13144224	45.5128852	9.13144224	45.5128852	9.13144224	45.5128852	9.13144224	45.5128852	9.13144224	45.5128852	9.13144224
45.48524673	9.16479159	45.48524673	9.16479159	45.48524673	9.16479159	45.48524673	9.16479159	45.48524673	9.16479159	45.48524673	9.16479159	45.48524673	9.16479159	45.48524673	9.16479159	45.48524673	9.16479159	45.48524673	9.16479159
45.48054816	9.202611156	45.48054816	9.202611156	45.48054816	9.202611156	45.48054816	9.202611156	45.48054816	9.202611156	45.48054816	9.202611156	45.48054816	9.202611156	45.48054816	9.202611156	45.48054816	9.202611156	45.48054816	9.202611156
45.45994333	9.144871433	45.45994333	9.144871433	45.45981002	9.145659879	45.46000821	9.149087176	45.4617041	9.150837235	45.46178648	9.154213298	45.46251457	9.157338269	45.46346634	9.159456542	45.46483593	9.16209478	45.46553917	9.16447852
45.48792422	9.196325399	45.48792422	9.196325399	45.48792422	9.196325399	45.48792422	9.196325399	45.48792422	9.196325399	45.48792422	9.196325399	45.48792422	9.196325399	45.48792422	9.196325399	45.48792422	9.196325399	45.48792422	9.196325399
45.44964453	9.204980254	45.44964453	9.204980254	45.44964453	9.204980254	45.44964453	9.204980254	45.44964453	9.204980254	45.44964453	9.204980254	45.44964453	9.204980254	45.44964453	9.204980254	45.44964453	9.204980254	45.44964453	9.204980254
45.470036	9.21010894	45.470036	9.21010894	45.470036	9.21010894	45.470036	9.21010894	45.470036	9.21010894	45.470036	9.21010894	45.470036	9.21010894	45.470036	9.21010894	45.470036	9.21010894	45.470036	9.21010894
45.50134661	9.198425606	45.50134661	9.198425606	45.50134661	9.198425606	45.50134661	9.198425606	45.50134661	9.198425606	45.50134661	9.198425606	45.50134661	9.198425606	45.50134661	9.198425606	45.50134661	9.198425606	45.50134661	9.198425606
45.50443364	9.126119612	45.50443364	9.126119612	45.50443364	9.126119612	45.50443364	9.126119612	45.50443364	9.126119612	45.50443364	9.126119612	45.50443364	9.126119612	45.50443364	9.126119612	45.50443364	9.126119612	45.50443364	9.126119612
45.44746821	9.153813496	45.44746821	9.153813496	45.44746821	9.153813496	45.44746821	9.153813496	45.44746821	9.153813496	45.44746821	9.153813496	45.44746821	9.153813496	45.44746821	9.153813496	45.44746821	9.153813496	45.44746821	9.153813496
45.46764886	9.211134029	45.46764886	9.211134029	45.46764886	9.211134029	45.46764886	9.211134029	45.46764886	9.211134029	45.46764886	9.211134029	45.46764886	9.211134029	45.46764886	9.211134029	45.46764886	9.211134029	45.46764886	9.211134029
45.43197445	9.19420896	45.43197445	9.19420896	45.43197445	9.19420896	45.43197445	9.19420896	45.43197445	9.19420896	45.43197445	9.19420896	45.43197445	9.19420896	45.43197445	9.19420896	45.43197445	9.19420896	45.43197445	9.19420896
45.45653576	9.226709945	45.45653576	9.226709945	45.45653576	9.226709945	45.45653576	9.226709945	45.45653576	9.226709945	45.45653576	9.226709945	45.45653576	9.226709945	45.45653576	9.226709945	45.45653576	9.226709945	45.45653576	9.226709945
45.46131027	9.206673888	45.46131027	9.206673888	45.4609684	9.204499944	45.46246927	9.202276575	45.46247891	9.19897668	45.46321613	9.195696635	45.46292724	9.192533221	45.46294483	9.189674486	45.46205387	9.186713218	45.46317538	9.185568154
45.43738984	9.210599349	45.43738984	9.210599349	45.43738984	9.210599349	45.43738984	9.210599349	45.43738984	9.210599349	45.43738984	9.210599349	45.43738984	9.210599349	45.43738984	9.210599349	45.43738984	9.210599349	45.43738984	9.210599349
45.46248217	9.16929067	45.46248217	9.16929067	45.46248217	9.16929067	45.46248217	9.16929067	45.46248217	9.16929067	45.46248217	9.16929067	45.46248217	9.16929067	45.46248217	9.16929067	45.46248217	9.16929067	45.46248217	9.16929067
45.49403883	9.215424327	45.49403883	9.215424327	45.49403883	9.215424327	45.49403883	9.215424327	45.49403883	9.215424327	45.49403883	9.215424327	45.49403883	9.215424327	45.49403883	9.215424327	45.49403883	9.215424327	45.49403883	9.215424327
45.48448843	9.130999947	45.48448843	9.130999947	45.48448843	9.130999947	45.48448843	9.130999947	45.48448843	9.130999947	45.48448843	9.130999947	45.48448843	9.130999947	45.48448843	9.130999947	45.48448843	9.130999947	45.48448843	9.130999947
45.43087644	9.159221822	45.43087644	9.159221822	45.43087644	9.159221822	45.43087644	9.159221822	45.43087644	9.159221822	45.43087644	9.159221822	45.43087644	9.159221822	45.43087644	9.159221822	45.43087644	9.159221822	45.43087644	9.159221822
45.49070618	9.210590959	45.49070618	9.210590959	45.49070618	9.210590959	45.49070618	9.210590959	45.49070618	9.210590959	45.49070618	9.210590959	45.49070618	9.210590959	45.49070618	9.210590959	45.49070618	9.210590959	45.49070618	9.210590959
45.47118805	9.145600028	45.47118805	9.145600028	45.47180558	9.147067935	45.46991754	9.149692552	45.46803103	9.152149107	45.46704721	9.155206547	45.46573699	9.15785465	45.46431341	9.160968859	45.46353502	9.163540458	45.46289503	9.166918354
45.44946556	9.123724667	45.44946556	9.123724667	45.44946556	9.123724667	45.44946556	9.123724667	45.44946556	9.123724667	45.44946556	9.123724667	45.44946556	9.123724667	45.44946556	9.123724667	45.44946556	9.123724667	45.44946556	9.123724667
45.46771282	9.134842503	45.46771282	9.134842503	45.46771282	9.134842503	45.46771282	9.134842503	45.46771282	9.134842503	45.46771282	9.134842503	45.46771282	9.134842503	45.46771282	9.134842503	45.46771282	9.134842503	45.46771282	9.134842503
45.44857267	9.169046083	45.44857267	9.169046083	45.44857267	9.169046083	45.44857267	9.169046083	45.44857267	9.169046083	45.44857267	9.169046083	45.44857267	9.169046083	45.44857267	9.169046083	45.44857267	9.169046083	45.44857267	9.169046083
45.4888708	9.208825091	45.4888708	9.208825091	45.4888708	9.208825091	45.4888708	9.208825091	45.4888708	9.208825091	45.4888708	9.208825091	45.4888708	9.208825091	45.4888708	9.208825091	45.4888708	9.208825091	45.4888708	9.208825091
45.49742542	9.168225567	45.49742542	9.168225567	45.49742542	9.168225567	45.49742542	9.168225567	45.49742542	9.168225567	45.49742542	9.168225567	45.49742542	9.168225567	45.49742542	9.168225567	45.49742542	9.168225567	45.49742542	9.168225567
45.50788083	9.126178314	45.50788083	9.126178314	45.50843466	9.123862077	45.50761171	9.12728652	45.5070676	9.130582768	45.50646082	9.133722369	45.50520857	9.136615231	45.50334521	9.138778012	45.50165514	9.140844913	45.5019866	9.143559166
45.49128824	9.130431641	45.49128824	9.130431641	45.49128824	9.130431641	45.49128824	9.130431641	45.49128824	9.130431641	45.49128824	9.130431641	45.49128824	9.130431641	45.49128824	9.130431641	45.49128824	9.130431641	45.49128824	9.130431641
45.48019386	9.196952752	45.48019386	9.196952752	45.48019386	9.196952752	45.48019386	9.196952752	45.48019386	9.196952752	45.48019386	9.196952752	45.48019386	9.196952752	45.48019386	9.196952752	45.48019386	9.196952752	45.48019386	9.196952752
45.45690325	9.143158386	45.45690325	9.143158386	45.45690325	9.143158386	45.45690325	9.143158386	45.45690325	9.143158386	45.45690325	9.143158386	45.45690325	9.143158386	45.45690325	9.143158386	45.45690325	9.143158386	45.45690325	9.143158386
